"Appreciation of Beauty and Excellence","Appreciation of Beauty and Excellence
"
"Appreciation of Beauty and Excellence_1","Notice at least one instance of natural beauty around you (sunrise, sunset, clouds, sunshine, snowfall, rainbows, etc).
"
"Appreciation of Beauty and Excellence_10","Make one thing to improve your surroundings to be aesthetically beautiful.
"
"Appreciation of Beauty and Excellence_11","Listen a piece of music or a watch a film and evaluate how it touches you aesthetically.
"
"Appreciation of Beauty and Excellence_12","Go to real or virtual museum, pick a piece of art, and consider how it touches you aesthetically.
"
"Appreciation of Beauty and Excellence_13","Write your aesthetic/artistic reactions to another person's artistic expression.
"
"Appreciation of Beauty and Excellence_14","Simply appreciate a beautiful piece of architecture, dress, sculpture, pottery, poetry, prose, etc.
"
"Appreciation of Beauty and Excellence_15","Explore expression of beauty in different culture.
"
"Appreciation of Beauty and Excellence_16","Observe the birds or other createrus in yoour surroundings.
"
"Appreciation of Beauty and Excellence_17","Find out which international holiday is today. Make a decoration celebrating this holiday.
"
"Appreciation of Beauty and Excellence_18","Find a photo that employs strong emotions in you. Reflect on why is that so.
"
"Appreciation of Beauty and Excellence_19","Take mental pictures of art that you happen to meet throughout the day and note how they affect your everyday life.
"
"Appreciation of Beauty and Excellence_2","Take pictures of natural scenes or your loved ones.
"
"Appreciation of Beauty and Excellence_20","Note and write down how the goodness of other people affects your life.
"
"Appreciation of Beauty and Excellence_3","Think of something that contains beauty, love and connection.
"
"Appreciation of Beauty and Excellence_4","Change the desktop background of PC or phone to something that sparks strong emotions in you.
"
"Appreciation of Beauty and Excellence_5","Find out which local exhibits of clothes, cultural artifacts, art etc are happening in the vicinity. Plan to visit one.
"
"Appreciation of Beauty and Excellence_6","Search, experience and reflect on the excellence, beauty, and joy expressed through colors, sounds, flavors, images, ideas, aromas, sensations or words.
"
"Appreciation of Beauty and Excellence_7","Notice and reflect on how others appreciate beauty and excellence through specific words, expressions, gestures, and actions.
"
"Appreciation of Beauty and Excellence_8","Notice, admire and reflect on excellence of someone's character strengths.
"
"Appreciation of Beauty and Excellence_9","Find and appreciate the subtle difference of today's weather versus yesterday.
"
"Bravery","Bravery
"
"Bravery_1","Reflect on the possibility or occurence of resisting social or peer pressure for noble values and causes in meaningful ways.
"
"Bravery_10","Speak up for or write about an unpopular idea.
"
"Bravery_11","Select a meaningful social change. Take small, practical step to bring it closer.
"
"Bravery_12","Notice and, if occurring, find a way to fix an injustice, abuse, blatant unethical practice, etc happening in your area.
"
"Bravery_2","Think how you can stand up for someone (such as a younger sibling or a battered woman) who will not otherwise stand up for themself. Act if possible.
"
"Bravery_3","Ask at least one difficult question that help you and others face reality.
"
"Bravery_4","Clarify your values by thinking about how best they have served you in challenging situations.
"
"Bravery_5","Reflect on a time where you was able to act successfully despite challenges. How can you ensure to do the same in the future?
"
