"Appreciation of Beauty and Excellence","Appreciation of Beauty and Excellence
"
"Appreciation of Beauty and Excellence_1","Notice at least one instance of natural beauty around you (sunrise, sunset, clouds, sunshine, snowfall, rainbows, etc).
"
"Appreciation of Beauty and Excellence_10","Improve your surroundings to be aesthetically beautiful.
"
"Appreciation of Beauty and Excellence_11","Listen a piece of music or a watch a film and evaluate how it touches you aesthetically.
"
"Appreciation of Beauty and Excellence_12","Plan a visit to museum, pick a piece of art, and consider how it touches you aesthetically.
"
"Appreciation of Beauty and Excellence_13","Write your aesthetic/artistic reactions to another person's artistic expression.
"
"Appreciation of Beauty and Excellence_14","Simply appreciate a beautiful piece of architecture, dress, sculpture, pottery, poetry, prose, etc.
"
"Appreciation of Beauty and Excellence_15","Explore expression of beauty in different cultures.
"
"Appreciation of Beauty and Excellence_16","Observe the birds.
"
"Appreciation of Beauty and Excellence_17","Explore which international holiday is today. Make a decoration celebrating this holiday.
"
"Appreciation of Beauty and Excellence_18","Explore beauty in the face of a child.
"
"Appreciation of Beauty and Excellence_19","Take mental pictures of art and note how they affect your everyday life.
"
"Appreciation of Beauty and Excellence_2","Take pictures of natural scenes or your loved ones.
"
"Appreciation of Beauty and Excellence_20","Note and write down how the goodness of other people affects your life.
"
"Appreciation of Beauty and Excellence_3","Think of something that contains beauty, love, and connection.
"
"Appreciation of Beauty and Excellence_4","Change the desktop background of PC or phone to something that sparks strong emotions.
"
"Appreciation of Beauty and Excellence_5","Plan to attend local exhibits of clothes, jewelry, cultural artifacts, and paintings.
"
"Appreciation of Beauty and Excellence_6","Search, experience and reflect on the excellence, beauty, and joy expressed through colors, sounds, flavors, images, ideas, aromas, sensations, or words.
"
"Appreciation of Beauty and Excellence_7","Notice and reflect on how others appreciate beauty and excellence through specific words, expressions, gestures, and actions.
"
"Appreciation of Beauty and Excellence_8","Notice, admire and reflect on excellence of someone's character strengths.
"
"Appreciation of Beauty and Excellence_9","Find and appreciate the subtle difference of today's weather versus yesterday.
"
"Bravery","Bravery
"
"Bravery_1","Reflect on the possibility or occurence of resistion social or peer pressure for noble values and causes in meaningful ways.
"
"Bravery_10","Speak up for or write about an unpopular idea.
"
"Bravery_11","Select a meaningful social change. Take small, practical step to bring it closer.
"
"Bravery_12","Notice and, if occurring, report an injustice, abuse, blatant unethical practice, or abuse of power or resources to appropriate authorities, even if the perpetrator is someone close to you.
"
"Bravery_2","Think how you can stand up for someone (such as a younger sibling or a battered woman) who will not otherwise stand up for themself. Act if possible.
"
"Bravery_3","Ask difficult questions that help you and others face reality.
"
"Bravery_4","Clarify your values by thinking about how best they have served you in challenging situations.
"
"Bravery_5","Reflect on a time where you was able to act successfully despite challenges. How can you ensure to do the same in the future?
"
"Bravery_6","Identify an area in which you generally shy away from confrontations. Practice the phrases, the tones, and the mannerisms that will enable you to effectively confront the situation next time.
"
"Bravery_7","Update your collection of contemporary stories of bravery in everyday life situations.
"
"Bravery_8","Reflect how can you be different but still positive. Act in such way when possible.
"
"Bravery_9","Think on where and how can you find more different but positive friends in your life.
"
"Citizenship","Citizenship
"
"Citizenship_1","Pick up litter on curbsides and put it in trashcans.
"
"Citizenship_10","Volunteer weekly for a community service project in your town, one that deals with what you are best at.
"
"Citizenship_11","Facilitate a group discussion and achieve consensus on a conflicting issue.
"
"Citizenship_12","Help at least one person yearly to set goals and periodically check on their progress.
"
"Citizenship_13","Arrange or attend at least one social gathering monthly.
"
"Citizenship_14","Spend at least half an hour weekly cleaning a communal place.
"
"Citizenship_15","Decorate a communal place.
"
"Citizenship_16","Play sports for your town or school.
"
"Citizenship_17","Start a book club.
"
"Citizenship_18","Car pool or give someone ride to work regularly.
"
"Citizenship_19","Start a community garden.
"
"Citizenship_2","Donate blood or become an organ donor.
"
"Citizenship_3","Seek a role in an organization or club that brings people of diverse cultures closer.
"
"Citizenship_4","Volunteer for activities such as serving as a Big Brother or Big Sister or constructing a Habitat for Humanity house.
"
"Citizenship_5","Organize a social gathering to bid farewell a parting neighbor or welcome a new neighbor.
"
"Citizenship_6","Volunteer to deliver Meals on Wheels in a poor neighborhood.
"
"Citizenship_7","Ask your neighbors, especially elderly ones, if they need anything from super market.
"
"Citizenship_8","Shovel snow or scrape ice for a neighbor.
"
"Citizenship_9","Cook a favorite meal for your neighbor or a friend.
"
"Creativity","Creativity"
"Creativity_1","Create and refine at least one original idea in an area of your interest.
"
"Creativity_10","Do at least one assignment in a different and creative manner.
"
"Creativity_11","Write an article, essay, short story, poem, draw, or paint in relation to your passion.
"
"Creativity_12","Offer one creative solution to challenges of a sibling or a friend.
"
"Creativity_13","Design a personalized card for a friend.
"
"Creativity_2","Compile an original and practical list of solutions or tips that will address common challenges faced by you and your peers.
"
"Creativity_3","Look for different and creative ways to spend more time at tasks you do best.
"
"Creativity_4","Brain-storm ideas on a challenging task with your friends.
"
"Creativity_5","Redesign at least part of your room or home.
"
"Creativity_6","Take a creative class or painting class.
"
"Creativity_7","Learn about an exotic and creative art such as Feng-shui or Ikebana.
"
"Creativity_8","Read about famous creative people and identify what made them unique.
"
"Creativity_9","Use leftovers (food, stationary and such) to make new products.
"
"Curiosity","Curiosity"
"Curiosity_1","Expand your knowledge in an area of interest through books, journals, magazines, TV, radio or internet.
"
"Curiosity_10","Attend a function/lecture/colloquium of a culture that differs from yours.
"
"Curiosity_2","Find a person who shares your area of your interest and learn how he/she increases his/her expertise in that area.
"
"Curiosity_3","Eat food of a different culture, explore its cultural context and become aware of your thoughts.
"
"Curiosity_4","Connect with a person of a different culture and spend at least an hour to learn about his/her culture.
"
"Curiosity_5","Make a list of unknowns about your favorite topic.
"
"Curiosity_6","Try things that challenge your existing knowledge and skills.
"
"Curiosity_7","Identify factors which might haven diminished your curiosity in an area and search three new ways to rejuvenate it.
"
"Curiosity_8","Get engaged in more open-ended learning experiences (i.e., making ice cream to understand physics and chemistry or taking a yoga class to understand different muscle groups).
"
"Curiosity_9","Explore processes of nature by being in the woods, park, stream, yard, etc.
"
"Fairness, Equity and Justice","Fairness, Equity and Justice"
"Fairness, Equity and Justice_1","The next time you make a mistake, self-monitor to see whether you admit it.
"
"Fairness, Equity and Justice_10","The next time you present an argument, self-monitor to see whether you compromise fairness for social desirability.
"
"Fairness, Equity and Justice_11","Encourage equal participation of everyone, especially those who feel left out in a discussion/activity.
"
"Fairness, Equity and Justice_12","Self-monitor to see whether your judgments are affected by your personal likes and dislikes or are based on principles of justice and fairness.
"
"Fairness, Equity and Justice_13","Recall and write about instances where you were unfair or could have been fairer. Consider how you could improve your future behavior.
"
"Fairness, Equity and Justice_14","Self-monitor to see whether you think about or treat people of other ethnicities and cultures stereotypically.
"
"Fairness, Equity and Justice_2","Serve on a club or organization that offers unprivileged people a leveling playing field.
"
"Fairness, Equity and Justice_3","Write a letter to an editor or speak up on an important issue concerning social justice.
"
"Fairness, Equity and Justice_4","Politely discuss fairness with a friend whom you notice shows gender or ethnic bias.
"
"Fairness, Equity and Justice_5","Volunteer or learn about an organization which educates and campaigns for equal human rights.
"
"Fairness, Equity and Justice_6","Explore an ongoing event anywhere in the world where human rights are being violated and write your reactions and suggestions to promote social justice on that issue.
"
"Fairness, Equity and Justice_7","Watch a film or a documentary which exemplifies fairness, social justice, and equity.
"
"Fairness, Equity and Justice_8","Read biographies of famous people who exemplify social justice such as Gandhi, Martin Luther King, and Nelson Mandela.
"
"Fairness, Equity and Justice_9","Speak up for your group
"
"Forgiveness","Forgiveness"
"Forgiveness_1","Remember times when you offended someone and were forgiven, then extend this gift to others.
"
"Forgiveness_10","Evaluate your emotions before and after forgiving someone.
"
"Forgiveness_2","Understand from the offender’s perspective why he/she offended you. Then assess whether your reaction is hurting you more than offender.
"
"Forgiveness_3","Make a list of individuals against whom you hold a grudge, then either meet them personally to discuss it or visualize whether bygones can be bygones.
"
"Forgiveness_4","Meet a person who offended you in the past, especially if he/she is a family member. Tell them that you have forgiven them, or just be kind in your interaction with them.
"
"Forgiveness_5","Ask for forgiveness from a Divine power according to your faith and assess how you feel afterwards.
"
"Forgiveness_6","Pray for the noble behavior of your offender.
"
"Forgiveness_7","Identify how a grudge tortures you emotionally. Does it produce disruptive emotions (anger, hatred, fear, worry, sadness, anxiety, jealousy and such)? Write three ways these disruptive emotions affect your behavior.
"
"Forgiveness_8","Plan out what your response should be the next time someone offends you. Remind yourself of your plan (rehearse if possible) and periodically affirm, “No matter how he/she offends me, I will respond as I have planned.”
"
"Forgiveness_9","Imagine your offender and consider whether you have any payback fantasies. Imagine in detail what might happen if you forgive the offender. Journal your reactions. Start with a moderate offense and continue till you achieve forgiveness and resolution. During this exercise continuously remind yourself this is a forgiving exercise, not a grudge-holding one.
"
"Gratitude","Gratitude"
"Gratitude_1","Consider how this statement describes your usual mental state: “A still mind sees what is good and present. An anxious mind sees what is negative and missing.” Still your mind for five minutes in the morning and in the evening.
"
"Gratitude_10","Count three your blessings (good things that happened to you) before going to bed every day.
"
"Gratitude_11","Express your gratitude to someone whom haven’t told before, preferably through a personal visit.
"
"Gratitude_12","Every day, select one small yet important thing that you take for granted. Work on being mindful of this thing in the future.
"
"Gratitude_13","Notice how many times you say thanks and whether you mean it every time.
"
"Gratitude_14","Express gratitude by leaving a note for someone who has helped your intellectual growth (e.g., a high school teacher).
"
"Gratitude_15","Express thanks to all who contributed to your success, no matter how small their contribution might have been.
"
"Gratitude_16","Express thanks without just saying “thanks”-- be more descriptive and specific (e.g., “I appreciate your prudent advice”).
"
"Gratitude_2","Write three apprehensions that you feel when you wake every morning. Before you go to bed, write three good things that happened to you and why. Then evaluate your apprehensions in light of the good things.
"
"Gratitude_3","Set aside at least ten minutes every day to savor a pleasant experience. Decide to withhold any conscious decisions during these ten minutes.
"
"Gratitude_4","Write a letter to an editor about an event that brought your community closer.
"
"Gratitude_5","Express gratitude to public officials such as police officers, fire fighters, and postal workers.
"
"Gratitude_6","Before eating, think of all people who have contributed to what you are eating. Do this at least once a week.
"
"Gratitude_7","Over dinner, talk with your loved ones about two good things that happened to them during the day.
"
"Gratitude_8","Think of three past adversities and identify three serendipitous goods they led to.
"
"Gratitude_9","Reminisce about your best moments of recognition, achievement, praise, and connection.
"
"Hope","Hope"
"Hope_1","Recall a situation when you or someone close to you overcame a difficult obstacle and succeeded.
"
"Hope_10","List all the bad things that happened to you, then find at least two positive for each.
"
"Hope_11","Visualize where and what you want to be after one, five and ten years. Sketch a pathway that you can follow to get there.
"
"Hope_12","Record your negative and positive thoughts and notice how they affect your future performance.
"
"Hope_2","Read about someone who succeeded despite difficulties and setbacks.
"
"Hope_3","Recall bad decisions you made, forgive yourself, and see how you can make better decisions in the future.
"
"Hope_4","When facing adversity, focus how you overcame a similar adversity in the past.
"
"Hope_5","Mentally rehearse your next anticipated challenge. Build perspective by managing obstacles rather then trying to eliminate all of them.
"
